BMK	Adresse	symbolische Adresse	Querverweisdaten (A)	E	
=RC01++RCMP+R1-12A61	AI0	PCU1.HWI_wA HS1_ActValue_U	+R1/56	U - Actual Value	
=RC01++RCMP+R1-12A61	AI2	PCU1.HWI_wA HS1_ActValue_I	+R1/56	I - Actual Value	
=RC01++RCMP+R1-12A62	AO0	PCU1.HWO_wA HS1_SetValue_UI	+R1/56	Gnd F. Set Point	
=RC01++RCMP+R1-12A62	AO2	PCU1.HWO_wA HS1_Umax	+R1/56	Umax	
=RC01++RCMP+R1-13A51	AI0	PCU1.HWI_w BDP93PE	+R1/71	Dosing Pump 93 Input Pressure Control	
=RC01++RCMP+R1-13A51	AI2	PCU1.HWI_w BDP93PA	+R1/71	Dosing Pump 93 Output Pressure Control	
=RC01++RCMP+R1-13A52	AI0	PCU1.HWI_w BDP94PE	+R1/71	Dosing Pump 94 Input Pressure Control	
=RC01++RCMP+R1-13A52	AI2	PCU1.HWI_w BDP94PA	+R1/71	Dosing Pump 94 Output Pressure Control	
=RC01++MV01+MP1-A1	DI1	Reserve.HWI_mA1DI1	+MP1/300	Spare	
=RC01++MV01+MP1-A1	DI0	Reserve.HWI_mA1DI0	+MP1/300	Spare	
=RC01++MV01+MP1-A1	DI3	Reserve.HWI_mA1DI3	+MP1/300	Spare	
=RC01++MV01+MP1-A1	DI2	Reserve.HWI_mA1DI2	+MP1/300	Spare	
=RC01++MV01+MP1-A1	DO5	Reserve.HWO_mA1DO5	+MP1/300	Spare	
=RC01++MV01+MP1-A1	DO4	PCU1.HWO_mYHV1	+MP1/300	Main Air Valve 1	
=RC01++MV01+MP1-A1	DO7	PCU1.HWO_mYV33	+MP1/300	Valve Solvent 33	
=RC01++MV01+MP1-A1	DO6	PCU1.HWO_mYV32	+MP1/300	Valve Solvent 32	
=RC01++MV01+MP1-A2	DI1	Reserve.HWI_mA2DI1	+MP1/301	Spare	
=RC01++MV01+MP1-A2	DI0	Reserve.HWI_mA2DI0	+MP1/301	Spare	
=RC01++MV01+MP1-A2	DI3	Reserve.HWI_mA2DI3	+MP1/301	Spare	
=RC01++MV01+MP1-A2	DI2	Reserve.HWI_mA2DI2	+MP1/301	Spare	
=RC01++MV01+MP1-A2	DO5	PCU1.HWO_mYBL35	+MP1/301	Valve Blowing Air 35	
=RC01++MV01+MP1-A2	DO4	PCU1.HWO_mYBL34	+MP1/301	Valve Blowing Air 34	
=RC01++MV01+MP1-A2	DO7	Reserve.HWO_mA2DO7	+MP1/301	Spare	
=RC01++MV01+MP1-A2	DO6	Reserve.HWO_mA2DO6	+MP1/301	Spare	
=RC01++RO01+GA1-A3	DI1	PCU1.HWI_mBMLD1	+GA1/300	Motor Bearing Pressure 1	
=RC01++RO01+GA1-A3	DI0	PCU1.HWI_mBLV1	+GA1/300	Air Supply 1	
=RC01++RO01+GA1-A3	DI3	PCU1.HWI_mBFDSb1MB	+GA1/300	Paint Pressure Control b1 Diaphragm Break	
=RC01++RO01+GA1-A3	DI2	PCU1.HWI_mBFDSa1MB	+GA1/300	Paint Pressure Control a1 Diaphragm Break	
=RC01++RO01+GA1-A3	DO5	Reserve.HWO_mA3DO5	+GA1/300	Spare	
=RC01++RO01+GA1-A3	DO4	PCU1.HWO_mYMLL1	+GA1/300	Valve Motor Bearing Air 1	
=RC01++RO01+GA1-A3	DO7	Reserve.HWO_mA3DO7	+GA1/300	Spare	
=RC01++RO01+GA1-A3	DO6	Reserve.HWO_mA3DO6	+GA1/300	Spare	
=RC01++RO01+GA1-A4	AI0	PCU1.HWI_wBFDSa1	+GA1/301	Paint Pressure Control a1	
=RC01++RO01+GA1-A4	AI2	PCU1.HWI_wBFDSb1	+GA1/301	Paint Pressure Control b1	
=RC01++RO01+GA1-A4	AI4	Reserve.HWI_wA4AI4+	+GA1/301	Spare	
=RC01++RO01+GA1-A4	AI6	Reserve.HWI_wA4AI4+	+GA1/301	Spare	
=RC01++RO01+GA1-A5	AI0	PCU1.HWI_wBDP91PE	+GA1/302	Pressure Control Dosing Pump 91 Input	
=RC01++RO01+GA1-A5	AI2	PCU1.HWI_wBDP91PA	+GA1/302	Pressure Control Dosing Pump 91 Output	
=RC01++RO01+GA1-A5	AI4	PCU1.HWI_wBDP92PE	+GA1/302	Pressure Control Dosing Pump 92 Input	
=RC01++RO01+GA1-A5	AI6	PCU1.HWI_wBDP92PA	+GA1/302	Pressure Control Dosing Pump 92 Output	
=RC01++RO01+GA1-A6	AO0	PCU1.HWO_wBFDSa1	+GA1/303	Paint Pressure Control a1	
=RC01++RO01+GA1-A6	AO2	PCU1.HWO_wBFDSb1	+GA1/303	Paint Pressure Control b1	
=RC01++RO01+GA1-A6	AO4	Reserve.HWO_wA6AO4+	+GA1/303	Spare	
=RC01++RO01+GA1-A6	AO6	Reserve.HWO_wA6AO6+	+GA1/303	Spare	
=RC01++RO01+GA1-A7	AI0	PCU1.HWI_wAAH1	+GA1/304	Temperature Motor Air	
=RC01++RO01+GA1-A7	AI2	Reserve.HWI_wA7AI2+	+GA1/304	Spare	
=RC01++RO01+GA1-A7	AI4	Reserve.HWI_wA7AI4+	+GA1/304	Spare	
=RC01++RO01+GA1-A7	AI6	Reserve.HWI_wA7AI6+	+GA1/304	Spare	
=RC01++RO01+GA1-A8	DI1	PCU1.HWI_mBDP91PA_Fault	+GA1/305	O / E - Transducer Output DP91 Fault	
=RC01++RO01+GA1-A8	DI0	PCU1.HWI_mBDP91PE_Fault	+GA1/305	O / E - Transducer Input DP91 Fault	
=RC01++RO01+GA1-A8	DI3	PCU1.HWI_mBDP92PA_Fault	+GA1/305	O / E - Transducer Output DP92 Fault	
=RC01++RO01+GA1-A8	DI2	PCU1.HWI_mBDP92PE_Fault	+GA1/305	O / E - Transducer Input DP92 Fault	
=RC01++RO01+GA1-A8	DO5	Reserve.HWO_mA8DO5	+GA1/305	Spare	
=RC01++RO01+GA1-A8	DO4	Reserve.HWO_mA8DO4	+GA1/305	Spare	
=RC01++RO01+GA1-A8	DO7	Reserve.HWO_mA8DO7	+GA1/305	Spare	
=RC01++RO01+GA1-A8	DO6	Reserve.HWO_mA8DO6	+GA1/305	Spare	
=RC01++RO01+GA1-A9	DI1	Reserve.HWI_mA9DI1	+GA1/306	Spare	
=RC01++RO01+GA1-A9	DI0	PCU1.HWI_mBDP91DRU	+GA1/306	Speed Control 91	
=RC01++RO01+GA1-A9	DI3	Reserve.HWI_mA9DI3	+GA1/306	Spare	
=RC01++RO01+GA1-A9	DI2	PCU1.HWI_mBDP92DRU	+GA1/306	Speed Control 92	
=RC01++RO01+GA1-A9	DO5	Reserve.HWO_mA9DO5	+GA1/306	Spare	
=RC01++RO01+GA1-A9	DO4	Reserve.HWO_mA9DO4	+GA1/306	Spare	
=RC01++RO01+GA1-A9	DO7	Reserve.HWO_mA9DO7	+GA1/306	Spare	
=RC01++RO01+GA1-A9	DO6	Reserve.HWO_mA9DO6	+GA1/306	Spare	
=RC01++RO01+GA1-BLL1	AI0	PCU1.HWI_wBLL1_LM	+GA1/102	Shaping Air 1 Air Sensor	
=RC01++RO01+GA1-BLL1	AI2	PCU1.HWI_wBLL1_PA	+GA1/102	Shaping Air 1 Pressure Output	
=RC01++RO01+GA1-BLL1	AO0	PCU1.HWO_wBLL1	+GA1/102	Shaping Air 1	
=RC01++RO01+GA1-BLL2	AI0	PCU1.HWI_wBLL2_LM	+GA1/103	Shaping Air 2 Air Sensor	
=RC01++RO01+GA1-BLL2	AI2	PCU1.HWI_wBLL2_PA	+GA1/103	Shaping Air 2 Pressure Output	
=RC01++RO01+GA1-BLL2	AO0	PCU1.HWO_wBLL2	+GA1/103	Shaping Air 2	
=RC01++RO01+GA1-BML1	AI0	PCU1.HWI_wBML1_LM	+GA1/101	Motor Air 1 Air Sensor	
=RC01++RO01+GA1-BML1	AI2	PCU1.HWI_wBML1_PA	+GA1/101	Motor Air 1 Pressure Output	
=RC01++RO01+GA1-BML1	AO0	PCU1.HWO_wBML1	+GA1/101	Motor Air 1	
=RC01++RO01+GA1-VEH1	DO0	PCU1.HWO_mYV2a	+GA1/201	Solvent 2a	
=RC01++RO01+GA1-VEH1	DO1	PCU1.HWO_mYV2b	+GA1/201	Solvent 2b	
=RC01++RO01+GA1-VEH1	DO2	PCU1.HWO_mYPL2a	+GA1/201	Pulse Air 2a	
=RC01++RO01+GA1-VEH1	DO3	PCU1.HWO_mYPL2b	+GA1/201	Pulse Air 2b	
=RC01++RO01+GA1-VEH1	DO4	PCU1.HWO_mYV3a	+GA1/201	Solvent 3a	
=RC01++RO01+GA1-VEH1	DO5	PCU1.HWO_mYBY1a	+GA1/201	Bypass 1a	
=RC01++RO01+GA1-VEH1	DO6	PCU1.HWO_mYHN1a	+GA1/201	Main Needle 1a	
=RC01++RO01+GA1-VEH1	DO7	PCU1.HWO_mYHN1b	+GA1/201	Main Needle 1b	
=RC01++RO01+GA1-VEH1	DO8	PCU1.HWO_mYKS1	+GA1/201	Short Purging 1	
=RC01++RO01+GA1-VEH1	DO9	PCU1.HWO_mYKSL1	+GA1/201	Short Purging Air 1	
=RC01++RO01+GA1-VEH1	DO10	PCU1.HWO_mYBL_KS1	+GA1/201	Blowing Air / Short Purging 1	
=RC01++RO01+GA1-VEH1	DO11	PCU1.HWO_mYKS2	+GA1/201	Short Purging 2	
=RC01++RO01+GA1-VEH1	DO12	PCU1.HWO_mYFGV1_Ha	+GA1/201	Release Valve 1 / Hardener a	
=RC01++RO01+GA1-VEH1	DO13	PCU1.HWO_mYFGV1_Hb	+GA1/201	Release Valve 1 / Hardener b	
=RC01++RO01+GA1-VEH1	DO14	PCU1.HWO_mYFGV1_SLa	+GA1/201	Release Valve 1 / Paint a	
=RC01++RO01+GA1-VEH1	DO15	PCU1.HWO_mYFGV1_SLb	+GA1/201	Release Valve 1 / Paint b	
=RC01++RO01+GA1-VEH1	DO16	PCU1.HWO_mYV1_Ha1	+GA1/201	Solvent 1 / Hardener a1	
=RC01++RO01+GA1-VEH1	DO17	PCU1.HWO_mYV2_Hb1	+GA1/201	Solvent 2 / Hardener b1	
=RC01++RO01+GA1-VEH1	DO18	Reserve.HWO_mVEH1DO18	+GA1/201	Spare	
=RC01++RO01+GA1-VEH1	DO19	PCU1.HWO_mYFGV2_Hb1	+GA1/201	Release Valve 2 / Hardener b1	
=RC01++RO01+GA1-VEH1	DO20	Reserve.HWO_mVEH1DO20	+GA1/201	Spare	
=RC01++RO01+GA1-VEH1	DO21	PCU1.HWO_mYFGV2_SLb1	+GA1/201	Release Valve 2 / Paint b1	
=RC01++RO01+GA1-VEH1	DO22	PCU1.HWO_mYV1_SLa1	+GA1/201	Solvent 1 / Paint a1	
=RC01++RO01+GA1-VEH1	DO23	PCU1.HWO_mYV2_SLb1	+GA1/201	Solvent 2 / Paint b1	
=RC01++RO01+GA1-VEH2	DO0	PCU1.HWO_mYV3b	+GA1/202	Solvent 3b	
=RC01++RO01+GA1-VEH2	DO1	PCU1.HWO_mYBY1b	+GA1/202	Bypass 1b	
=RC01++RO01+GA1-VEH2	DO2	Reserve.HWO_mVEH2DO2	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO3	Reserve.HWO_mVEH2DO3	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO4	Reserve.HWO_mVEH2DO4	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO5	PCU1.HWO_mYV1_Hb1	+GA1/202	Solvent 1 / Hardener b1	
=RC01++RO01+GA1-VEH2	DO6	Reserve.HWO_mVEH2DO6	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO7	PCU1.HWO_mYV1_SLb1	+GA1/202	Solvent 1 / Paint b1	
=RC01++RO01+GA1-VEH2	DO8	PCU1.HWO_mYSLa1	+GA1/202	Paint a1	
=RC01++RO01+GA1-VEH2	DO9	PCU1.HWO_mYSLa2	+GA1/202	Paint a2	
=RC01++RO01+GA1-VEH2	DO10	Reserve.HWO_mVEH2DO10	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO11	PCU1.HWO_mYHa1	+GA1/202	Hardener a1	
=RC01++RO01+GA1-VEH2	DO12	PCU1.HWO_mYHa2	+GA1/202	Hardener a2	
=RC01++RO01+GA1-VEH2	DO13	Reserve.HWO_mVEH2DO13	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO14	PCU1.HWO_mYSLb1	+GA1/202	Paint b1	
=RC01++RO01+GA1-VEH2	DO15	PCU1.HWO_mYSLb2	+GA1/202	Paint b2	
=RC01++RO01+GA1-VEH2	DO16	Reserve.HWO_mVEH2DO16	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO17	PCU1.HWO_mYHb1	+GA1/202	Hardener b1	
=RC01++RO01+GA1-VEH2	DO18	PCU1.HWO_mYHb2	+GA1/202	Hardener b2	
=RC01++RO01+GA1-VEH2	DO19	Reserve.HWO_mVEH2DO19	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO20	Reserve.HWO_mVEH2DO20	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO21	Reserve.HWO_mVEH2DO21	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO22	Reserve.HWO_mVEH2DO22	+GA1/202	Spare	
=RC01++RO01+GA1-VEH2	DO23	Reserve.HWO_mVEH2DO23	+GA1/202	Spare	
